"Agilent Technologies Inc"	"A"	"N - New York"	"56  - Healthcare"	"56101010 - Advanced Medical Equipment & Technology"	10/31/2023	10/31/2022	1.315	1.450	1.290	1.311	1.311	15.000	6.000	4.000	0.038	1.280	1.440	1.210	1.258	1.280	15.000	4.000	7.000	0.059	5.605	5.900	4.640	5.475	5.605	19.000	15.000	1.000	0.250	6.212	6.480	5.060	6.146	6.224	19.000	9.000	3.000	0.301	6.997	7.310	6.600	6.755	7.014	9.000	1.000	0.000	0.200	11.971	16.000	8.900	11.471	5.000	1.000	1.000	2.977	11/21/2022	1.530	0.144	1.386	10.400	0.015	9.600	08/16/2022	1.340	0.141	1.199	11.800	0.023	6.100
"Alcoa Corp"	"AA"	"N - New York"	"51  - Basic Materials"	"51201030 - Metals & Mining - Aluminum"	12/31/2022	09/30/2022	-0.629	-0.240	-1.100	-0.629	0.316	10.000	0.000	8.000	0.329	0.393	1.420	-0.199	0.402	0.393	9.000	1.000	7.000	0.502	4.585	5.400	0.670	4.585	4.732	13.000	0.000	10.000	1.339	3.641	5.320	1.530	4.231	4.316	13.000	0.000	2.000	1.089	5.864	7.496	4.700	5.918	5.918	10.000	2.000	4.000	0.812	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	10/19/2022	-0.330	-0.521	0.191	-272.800	0.618	-0.800	07/20/2022	2.670	0.356	2.314	15.400	0.317	1.100
"Ares Acquisition Corp"	"AAC"	"N - New York"	"55  - Financials"	"55601010 - Investment Holding Companies"	/  /	/  /	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	/  /	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	/  /	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990
"Armada Acquisition Corp I"	"AACI"	"M - Nasdaq"	"55  - Financials"	"55601010 - Investment Holding Companies"	/  /	/  /	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	/  /	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	/  /	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990
"Aadi Bioscience Inc"	"AADI"	"M - Nasdaq"	"56  - Healthcare"	"56201040 - Pharmaceuticals"	12/31/2022	09/30/2022	-0.667	-0.620	-0.700	-0.764	-0.746	5.000	2.000	2.000	0.029	-0.695	-0.610	-0.780	-0.785	-0.695	2.000	2.000	0.000	0.085	-2.880	-2.830	-2.920	-3.008	-2.940	5.000	2.000	2.000	0.041	-2.533	-2.130	-3.120	-2.980	-2.530	4.000	3.000	1.000	0.372	-2.740	-1.910	-3.570	-3.327	-2.797	3.000	3.000	0.000	0.678	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	11/09/2022	-0.680	0.062	-0.742	8.400	0.036	1.700	08/10/2022	-0.870	-0.120	-0.750	-16.000	0.070	-1.700
"Arlington Asset Investment Cor"	"AAIC"	"N - New York"	"55  - Financials"	"55102020 - Investment Management & Fund Operators"	12/31/2022	09/30/2022	0.074	0.082	0.070	0.051	0.051	3.000	2.000	0.000	0.006	0.073	0.080	0.070	0.057	0.073	3.000	2.000	0.000	0.005	0.283	0.332	0.250	0.218	0.271	4.000	3.000	0.000	0.030	0.292	0.320	0.260	0.250	0.270	3.000	2.000	0.000	0.025	0.335	0.410	0.260	0.410	0.410	2.000	0.000	0.000	0.075	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	11/14/2022	0.110	0.059	0.051	115.700	0.007	8.900	08/09/2022	0.050	-0.017	0.067	-25.400	0.013	-1.400
"American Airlines Group Inc"	"AAL"	"M - Nasdaq"	"52  - Industrials"	"52406010 - Airlines"	12/31/2022	09/30/2022	0.567	0.660	0.480	0.567	0.074	15.000	13.000	0.000	0.052	-0.214	0.250	-0.800	-0.255	-0.214	7.000	4.000	1.000	0.312	-0.236	-0.030	-1.400	-0.248	-0.248	20.000	12.000	1.000	0.316	1.501	3.110	0.200	1.523	1.504	20.000	8.000	7.000	0.827	2.436	3.510	1.950	2.337	2.369	15.000	4.000	2.000	0.525	16.085	30.900	6.640	16.085	7.000	0.000	0.000	8.636	10/20/2022	0.690	0.129	0.561	23.000	0.132	1.000	07/21/2022	0.760	-0.002	0.762	-0.300	0.065	0.000
"Aaron's Company Inc"	"AAN"	"N - New York"	"55  - Financials"	"55101030 - Consumer Lending"	12/31/2022	09/30/2022	0.013	0.060	-0.080	0.013	0.084	7.000	2.000	5.000	0.042	0.460	0.810	0.250	0.460	0.460	6.000	1.000	5.000	0.194	1.987	2.030	1.900	1.987	1.950	7.000	5.000	0.000	0.045	1.679	2.050	1.330	1.679	1.681	7.000	1.000	5.000	0.212	2.180	2.420	2.000	2.180	2.335	4.000	1.000	2.000	0.151	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	10/24/2022	0.310	0.188	0.122	154.100	0.110	1.700	07/25/2022	0.790	0.166	0.624	26.600	0.082	2.000
"Applied Optoelectronics Inc"	"AAOI"	"M - Nasdaq"	"57  - Technology"	"57104010 - Electronic Equipment & Parts"	12/31/2022	09/30/2022	-0.309	-0.300	-0.324	-0.234	-0.245	4.000	0.000	4.000	0.010	-0.253	-0.199	-0.300	-0.240	-0.253	4.000	2.000	1.000	0.041	-1.123	-1.110	-1.142	-1.075	-1.116	4.000	1.000	2.000	0.012	-0.775	-0.608	-0.943	-0.688	-0.831	4.000	0.000	4.000	0.133	0.013	0.013	0.013	0.035	0.035	1.000	0.000	1.000	0.000	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	11/03/2022	-0.260	0.029	-0.289	10.000	0.013	2.200	08/04/2022	-0.280	0.018	-0.298	6.000	0.023	0.800
"Aaon Inc"	"AAON"	"M - Nasdaq"	"52  - Industrials"	"52102030 - Electrical Components & Equipment"	12/31/2022	09/30/2022	0.558	0.610	0.510	0.534	0.534	4.000	3.000	1.000	0.035	0.480	0.511	0.450	0.450	0.480	2.000	0.000	0.000	0.030	1.699	1.750	1.650	1.586	1.694	4.000	4.000	0.000	0.035	2.441	2.545	2.260	2.366	2.435	4.000	2.000	1.000	0.109	2.888	3.000	2.775	2.900	2.837	2.000	1.000	0.000	0.113	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	11/07/2022	0.510	0.089	0.422	20.900	0.040	2.200	08/08/2022	0.300	-0.107	0.407	-26.300	0.026	-4.100
