"Agilent Technologies Inc"	"A"	"N - New York"	"56  - Healthcare"	"56101010 - Advanced Medical Equipment & Technology"	1.080	294.175	0.300	9.000	131.000	9.000	500.000	369.000	90.700	1363.000	16824.000	25844.000	46303.200	0.040	152.300	84.810	93.700	10.080	18.880	16.660	23.500	24.560	25.530	0.150	11/28/2022	162.620	112.520	115.190	6.390	19.820	14.900	15.390	6.930	298.000	299.000	301.000	301.000	303.000	304.000	306.000	309.000	304.000	309.000	314.000	321.000	322.000	326.000	333.000	-9999999999.990	/  /	-9999999999.990	1541.000	29753.000	226569.100
"Alcoa Corp"	"AA"	"N - New York"	"51  - Basic Materials"	"51201030 - Metals & Mining - Aluminum"	2.420	175.355	0.200	8.000	6.000	0.000	6.000	0.000	82.600	713.000	18406.000	27270.000	8473.500	0.000	46.430	47.330	47.300	18.960	-16.340	-28.020	31.600	61.210	78.410	-3.170	11/28/2022	98.090	33.550	105.100	14.970	-15.680	-29.100	11.560	4.480	179.000	182.000	184.000	183.000	187.000	187.000	186.000	186.000	186.000	186.000	185.000	186.000	184.000	183.000	182.468	-9999999999.990	/  /	-9999999999.990	5005.000	162841.000	378035.380
"Ares Acquisition Corp"	"AAC"	"N - New York"	"55  - Financials"	"55601010 - Investment Holding Companies"	-9999999999.990	100.000	0.000	0.000	0.000	0.000	0.000	0.000	92.100	130.000	12008.000	10738.000	1251.300	0.000	10.000	99.800	99.800	0.300	1.010	1.940	-9999999999.990	-9999999999.990	-9999999999.990	2.040	11/28/2022	10.020	9.700	100.820	-3.060	1.810	0.400	17.570	3.660	125.000	125.000	125.000	125.000	125.000	125.000	125.000	-9999999999.990	125.000	77.250	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	/  /	-9999999999.990	13.000	5025.000	2512.500
"Armada Acquisition Corp I"	"AACI"	"M - Nasdaq"	"55  - Financials"	"55601010 - Investment Holding Companies"	-9999999999.990	15.163	0.000	0.000	0.000	0.000	0.000	0.000	68.900	47.000	1025.000	93.000	206.700	0.000	9.984	-9999999999.990	98.900	0.240	0.840	1.360	-9999999999.990	-9999999999.990	-9999999999.990	6.890	11/28/2022	10.100	9.740	-9999999999.990	-3.130	1.640	-0.170	23.150	-9999999999.990	20.710	20.710	20.710	23.522	21.835	20.710	-9999999999.990	-9999999999.990	21.835	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	/  /	-9999999999.990	28.000	169.000	84.360
"Aadi Bioscience Inc"	"AADI"	"M - Nasdaq"	"56  - Healthcare"	"56201040 - Pharmaceuticals"	1.270	20.636	0.300	5.000	1860.000	0.000	1860.000	0.000	63.000	100.000	4142.000	2296.000	324.900	8.750	13.290	26.690	50.000	2.900	0.530	-13.590	12.700	38.120	76.120	-40.930	11/28/2022	26.600	11.000	101.480	-0.550	1.320	-14.890	-31.950	-5.940	21.269	20.971	20.915	21.022	9.510	7.201	3.152	3.145	8.923	2.842	2.706	2.262	1.805	1.805	1.805	-9999999999.990	08/27/2021	0.067	71.000	2359.000	1567.560
"Arlington Asset Investment Cor"	"AAIC"	"N - New York"	"55  - Financials"	"55102020 - Investment Management & Fund Operators"	1.480	26.998	4.400	3.000	79.000	1.000	90.000	11.000	39.500	70.000	385.000	1133.000	88.200	0.280	3.060	69.230	81.800	0.660	-5.560	-12.820	-19.400	-3.770	52.600	-17.520	11/28/2022	3.740	2.650	99.570	-2.720	-4.810	-14.130	-4.970	-1.310	28.338	28.766	29.832	31.088	31.927	33.066	33.181	33.402	32.312	35.343	35.709	29.052	25.649	23.051	23.002	-9999999999.990	10/07/2009	0.050	87.000	1322.000	202.270
"American Airlines Group Inc"	"AAL"	"M - Nasdaq"	"52  - Industrials"	"52406010 - Airlines"	1.480	642.226	0.600	14.000	204.000	4.000	318.000	114.000	55.700	744.000	29222.000	23204.000	9423.600	0.030	13.830	53.010	64.600	-2.470	2.370	-23.720	-21.600	-11.610	49.130	-22.090	11/28/2022	21.420	11.651	104.470	-5.740	3.180	-24.870	-10.230	-0.230	650.586	650.366	649.503	648.764	648.564	644.123	634.609	571.983	644.015	483.888	443.363	464.236	489.164	552.308	668.393	-9999999999.990	06/10/1998	2.000	24146.000	677551.000	468526.520
"Aaron's Company Inc"	"AAN"	"N - New York"	"55  - Financials"	"55101030 - Consumer Lending"	-9999999999.990	29.809	-9999999999.990	0.000	0.000	0.000	0.000	0.000	94.300	257.000	2254.000	4586.000	356.400	0.000	11.600	30.940	44.700	11.320	-10.630	-38.400	-9999999999.990	-9999999999.990	-9999999999.990	-51.790	11/28/2022	25.960	7.645	97.740	7.590	-9.930	-39.320	-44.450	-11.700	30.875	30.827	31.062	31.429	32.485	33.812	34.262	34.173	32.992	33.877	33.779	33.779	33.779	33.779	33.779	-9999999999.990	/  /	-9999999999.990	378.000	10011.000	5806.380
"Applied Optoelectronics Inc"	"AAOI"	"M - Nasdaq"	"57  - Technology"	"57104010 - Electronic Equipment & Parts"	1.330	27.141	8.400	11.000	697.000	6.000	851.000	154.000	33.700	79.000	2196.000	2526.000	62.500	2.500	2.110	15.130	34.400	-23.270	-13.530	-6.220	-41.800	-32.970	63.810	-65.010	11/28/2022	6.140	1.480	95.480	-25.850	-12.840	-7.630	-59.680	-17.400	27.839	27.612	27.463	27.274	27.097	26.850	26.438	23.639	26.912	21.867	19.982	19.647	19.097	17.202	15.627	-9999999999.990	/  /	-9999999999.990	139.000	34333.000	3622.130
"Aaon Inc"	"AAON"	"M - Nasdaq"	"52  - Industrials"	"52102030 - Electrical Components & Equipment"	0.790	42.267	0.400	7.000	-10.000	7.000	140.000	151.000	71.900	300.000	1563.000	1684.000	4179.400	-0.020	75.480	90.080	90.100	17.040	28.630	42.120	15.200	18.790	29.270	-3.340	11/28/2022	83.790	47.500	123.650	13.110	29.650	39.980	11.360	9.840	53.185	53.095	52.613	52.440	52.421	52.433	52.294	52.151	52.404	52.169	52.080	52.285	52.573	52.924	54.046	-9999999999.990	07/17/2014	1.500	166.000	3412.000	12876.890
"Advance Auto Parts, Inc."	"AAP"	"N - New York"	"53  - Consumer Cyclicals"	"53403010 - Retailers - Auto Vehicles, Parts & Service"	1.210	58.782	0.200	10.000	8.000	3.000	10.000	2.000	-9999999999.990	924.000	4029.000	6140.000	8888.100	0.010	150.620	61.590	61.600	-20.690	-11.680	-21.980	-1.400	6.450	37.650	-33.570	11/28/2022	244.550	145.590	87.550	-23.350	-10.980	-23.150	-23.460	-7.360	60.053	60.452	61.261	62.447	62.854	64.745	65.688	67.701	64.028	68.748	70.869	73.728	73.846	73.562	73.190	-9999999999.990	09/26/2005	1.500	1871.000	20079.000	151214.950
"Apple Inc"	"AAPL"	"M - Nasdaq"	"57  - Technology"	"57106020 - Phones & Handheld Devices"	1.230	15896.630	0.000	5.000	73.000	5.000	1524.000	1451.000	60.100	5532.000	196124.000	242338.000	2356151.000	0.000	144.220	78.830	78.800	-5.950	-10.630	-3.620	29.200	31.060	32.570	-8.030	11/28/2022	182.940	129.040	96.990	-9.100	-9.930	-5.070	5.960	-0.830	16030.380	16162.950	16278.800	16391.720	16487.120	16629.370	16753.480	16935.120	16215.960	16701.270	17352.120	18471.340	19821.510	20868.970	21883.280	-9999999999.990	08/31/2020	4.000	65560.000	1882802.000	13576885.200
"Accelerate Acquisition Corp"	"AAQC"	"N - New York"	"55  - Financials"	"55601010 - Investment Holding Companies"	-9999999999.990	40.000	0.000	0.000	0.000	0.000	0.000	0.000	89.800	87.000	6516.000	2535.000	502.000	0.000	10.030	99.850	99.900	0.910	2.140	2.870	-9999999999.990	-9999999999.990	-9999999999.990	3.190	11/28/2022	10.045	9.680	101.740	-2.480	2.940	1.320	18.890	4.000	50.000	50.000	50.000	50.000	50.000	50.000	50.000	-9999999999.990	50.000	50.000	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	/  /	-9999999999.990	380.000	2948.000	1478.420
"American Assets Trust, Inc"	"AAT"	"N - New York"	"60  - Real Estate"	"60102020 - REITs - Commercial"	1.100	59.852	0.500	5.000	547.000	0.000	547.000	0.000	94.900	294.000	2211.000	3280.000	1716.600	0.910	28.020	68.630	71.500	1.970	-1.510	-17.970	-16.200	-9.460	39.320	-22.190	11/28/2022	39.200	24.005	99.530	-1.460	-0.730	-19.210	-10.350	-1.310	60.044	60.040	60.039	60.002	59.990	59.986	59.984	59.952	59.991	59.806	54.111	46.951	46.716	45.333	44.439	-9999999999.990	/  /	-9999999999.990	278.000	6801.000	9528.200
"Autoscope Technologies Corp"	"AATC"	"M - Nasdaq"	"52  - Industrials"	"52102010 - Industrial Machinery & Equipment"	0.800	3.116	11.300	6.000	31.000	0.000	31.000	0.000	23.900	22.000	14.000	85.000	27.000	0.580	4.850	41.880	63.400	13.850	-7.620	-16.670	0.500	10.450	45.270	-30.120	11/28/2022	7.650	3.940	99.200	10.030	-6.890	-17.920	-19.480	-5.610	5.381	5.362	5.354	5.349	5.341	5.322	5.314	5.306	5.342	5.296	5.244	5.204	5.128	5.050	5.011	-9999999999.990	04/13/2000	1.200	35.000	273.000	66.200
"Advantage Energy Ltd"	"AAV"	"A - American"	"50  - Energy"	"50102020 - Oil & Gas - Exploration and Production"	2.040	179.501	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	0.000	0.000	-9999999999.990	-9999999999.990	0.000	0.000	2129.000	-9999999999.990	8.580	89.840	89.800	13.190	-6.020	4.760	66.900	77.420	74.410	47.680	11/28/2022	9.550	4.610	110.220	9.390	-5.280	3.190	70.140	12.310	189.305	190.415	190.829	190.837	190.829	190.501	188.113	188.115	190.077	187.761	186.659	186.040	185.641	182.056	170.608	-9999999999.990	/  /	-9999999999.990	18.000	610.000	261.690
"Atlas Air Worldwide Holdings,"	"AAWW"	"M - Nasdaq"	"52  - Industrials"	"52405010 - Freight & Logistics - Courier, Postal, Air Freight & L"	1.140	28.038	0.300	1.000	-35.000	1.000	4.000	39.000	-9999999999.990	388.000	11234.000	10481.000	2855.100	-0.120	100.690	99.080	99.100	-0.450	0.990	44.420	56.900	54.260	42.190	9.080	11/28/2022	101.620	58.700	112.980	-3.790	1.790	42.250	25.670	6.750	28.326	28.243	28.854	29.108	29.023	29.011	28.491	27.401	28.910	26.408	25.828	25.542	25.241	24.843	24.833	-9999999999.990	/  /	-9999999999.990	368.000	13199.000	66450.370
"Alliancebernstein Holding LP"	"AB"	"N - New York"	"55  - Financials"	"55102020 - Investment Management & Fund Operators"	1.350	96.176	0.000	0.000	-1.000	1.000	0.000	1.000	11.600	285.000	1712.000	1375.000	4127.500	0.000	40.010	69.530	73.300	6.330	-8.150	-6.740	11.400	18.510	37.240	-26.150	11/28/2022	54.601	31.310	99.440	2.760	-7.420	-8.140	-14.920	-4.220	100.466	98.802	99.202	98.471	99.410	100.159	100.146	101.235	99.545	96.870	95.884	97.041	94.733	96.834	99.475	-9999999999.990	04/03/1998	2.000	291.000	6492.000	12987.250
"ABB Ltd (ADR)"	"ABB"	"N - New York"	"52  - Industrials"	"52102040 - Heavy Electrical Equipment"	1.150	1781.626	0.000	0.000	0.000	0.000	0.000	0.000	6.200	468.000	6519.000	7253.000	62311.000	0.000	30.920	79.060	79.100	11.060	9.140	0.190	12.300	15.720	28.030	-9.560	11/28/2022	39.110	24.270	109.720	7.340	10.000	-1.310	4.190	2.910	1882.000	1909.000	1936.000	1971.000	2001.000	2016.000	2015.000	2057.000	2001.000	2111.000	2133.000	2132.000	2138.000	2151.000	2226.000	1.000	/  /	-9999999999.990	1390.000	37775.000	58400.150
"AbbVie Inc"	"ABBV"	"N - New York"	"56  - Healthcare"	"56201040 - Pharmaceuticals"	0.670	1766.515	0.000	0.000	0.000	0.000	0.000	0.000	70.800	3684.000	50371.000	49486.000	282284.800	0.000	158.430	90.060	90.100	8.220	16.740	5.620	21.800	23.110	26.010	35.980	11/28/2022	175.910	115.100	109.240	4.590	17.660	4.030	56.670	13.760	1771.000	1770.000	1770.000	1773.000	1770.000	1769.000	1769.000	1769.000	1770.000	1667.000	1481.000	1541.000	1596.000	1622.000	1625.000	-9999999999.990	/  /	-9999999999.990	5171.000	116007.000	918949.450
"AmerisourceBergen Corp."	"ABC"	"N - New York"	"56  - Healthcare"	"56101020 - Medical Equipment, Supplies & Distribution"	0.540	162.295	0.200	10.000	-13076.000	9.000	378.000	13454.000	72.400	1261.000	8582.000	8534.000	33949.400	-6.310	167.170	99.150	99.200	6.330	13.340	6.570	23.900	23.660	20.790	39.040	11/28/2022	168.600	113.680	112.230	2.760	14.240	4.970	60.200	13.610	207.203	208.885	209.244	208.555	207.911	206.156	204.916	204.683	208.472	205.919	204.783	210.165	217.872	218.375	212.206	-9999999999.990	06/16/2009	2.000	1421.000	28703.000	239914.030
"Ameris Bancorp"	"ABCB"	"M - Nasdaq"	"55  - Financials"	"55101010 - Banks"	1.160	65.650	3.700	12.000	15.000	4.000	30.000	15.000	91.400	363.000	2943.000	2901.000	3693.700	0.020	52.070	87.000	93.600	1.090	10.620	13.050	6.100	13.060	38.170	4.020	11/28/2022	55.620	38.220	110.610	-2.310	11.500	11.350	19.840	6.090	69.125	69.136	69.346	69.393	69.440	69.497	69.392	69.295	69.432	69.256	58.462	43.142	36.828	34.347	31.762	-9999999999.990	06/28/2010	1.005	239.000	7880.000	20515.580
"AbCellera Biologics Inc"	"ABCL"	"M - Nasdaq"	"56  - Healthcare"	"56202010 - Biotechnology & Medical Research"	-9999999999.990	203.832	19.700	2.000	371.000	1.000	441.000	70.000	46.900	256.000	23644.000	9937.000	3868.100	0.130	13.560	18.860	85.300	14.620	27.560	71.650	-9999999999.990	-9999999999.990	-9999999999.990	-3.070	11/28/2022	15.900	5.420	122.070	10.780	28.570	69.060	11.670	10.870	285.323	284.687	283.895	282.127	278.934	272.196	269.697	269.498	275.764	269.498	265.565	265.565	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	/  /	-9999999999.990	1642.000	36127.000	24494.110
"Abcam PLC (ADR)"	"ABCM"	"M - Nasdaq"	"56  - Healthcare"	"56201040 - Pharmaceuticals"	-9999999999.990	208.674	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	0.000	0.000	14.400	112.000	6343.000	2463.000	3661.600	-9999999999.990	16.870	68.330	70.300	8.420	12.540	12.620	-9999999999.990	-9999999999.990	-9999999999.990	-24.860	11/28/2022	24.000	12.540	110.330	4.780	13.430	10.920	-13.420	0.280	228.600	227.100	226.300	224.600	209.900	205.300	205.100	204.700	224.300	207.600	204.900	204.200	-9999999999.990	-9999999999.990	-9999999999.990	1.000	/  /	-9999999999.990	324.000	5532.000	4666.240
"Abeona Therapeutics Inc"	"ABEO"	"M - Nasdaq"	"56  - Healthcare"	"56202010 - Biotechnology & Medical Research"	1.240	16.250	3.200	11.000	424.000	3.000	430.000	6.000	7.100	33.000	480.000	120.000	67.000	6.600	3.860	4.070	18.600	-15.900	-5.390	-8.100	-64.200	-55.820	90.950	-78.850	11/28/2022	20.735	2.700	95.350	-18.730	-4.650	-9.480	-75.630	-19.200	6.421	5.807	5.795	4.200	3.920	3.860	3.769	3.642	3.938	3.707	2.014	1.901	1.666	1.367	1.104	-9999999999.990	07/05/2022	0.040	299.000	10243.000	1976.900
"Ambev SA (ADR)"	"ABEV"	"N - New York"	"54  - Consumer Non-Cyclicals"	"54101010 - Brewers"	1.050	4411.531	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	0.000	0.000	18.100	391.000	166194.000	110893.000	46681.100	-9999999999.990	2.930	74.180	88.400	-3.620	-3.620	-1.010	-11.400	-3.740	40.650	-0.680	11/28/2022	3.315	2.420	103.230	-6.850	-2.860	-2.500	14.430	3.160	15741.600	15740.360	15740.840	15737.970	15737.000	15737.000	15735.600	15734.480	15736.940	15733.070	15727.460	15718.080	15705.840	15696.640	15735.280	1.000	/  /	-9999999999.990	24156.000	622575.000	91207.240
"Asbury Automotive Group, Inc."	"ABG"	"N - New York"	"53  - Consumer Cyclicals"	"53403010 - Retailers - Auto Vehicles, Parts & Service"	1.130	21.974	0.100	1.000	1.000	2.000	1.000	0.000	-9999999999.990	378.000	1654.000	1331.000	4018.500	0.000	180.440	78.120	88.500	14.380	-2.080	-2.470	17.600	28.520	48.720	12.920	11/28/2022	203.920	138.880	107.750	10.550	-1.300	-3.930	30.100	5.440	22.100	22.100	22.800	21.700	19.300	19.300	19.300	19.200	19.900	19.200	19.100	20.100	20.800	22.500	26.300	-9999999999.990	/  /	-9999999999.990	130.000	3929.000	35447.440
"ABG Acquisition I Corp"	"ABGI"	"M - Nasdaq"	"55  - Financials"	"55601010 - Investment Holding Companies"	-9999999999.990	15.065	-9999999999.990	0.000	0.000	0.000	0.000	0.000	91.100	68.000	1354.000	1171.000	193.700	0.000	10.010	93.640	99.900	0.400	1.370	2.300	-9999999999.990	-9999999999.990	-9999999999.990	2.250	11/28/2022	10.020	9.700	101.080	-2.970	2.170	0.760	17.800	3.950	19.333	19.323	19.333	10.710	19.333	19.333	18.792	-9999999999.990	17.177	16.837	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	-9999999999.990	/  /	-9999999999.990	139.000	961.000	480.980
"Arca Biopharma Inc"	"ABIO"	"M - Nasdaq"	"56  - Healthcare"	"56202010 - Biotechnology & Medical Research"	1.790	14.303	17.900	1.000	0.000	1.000	5161.000	5161.000	38.600	28.000	706.000	136.000	30.000	0.000	2.050	37.270	78.800	-4.650	-12.390	-15.290	-28.500	21.270	151.260	-21.460	11/28/2022	2.600	1.710	90.840	-7.850	-11.700	-16.560	-9.510	-1.950	14.410	14.410	14.410	14.416	14.410	14.410	12.357	9.377	13.904	4.710	1.321	0.769	0.580	0.504	0.349	-9999999999.990	04/04/2019	0.056	22.000	601.000	61.600
